file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,37177a3f,Diego Osborn,2025-04-11,13:55:25,-07:00,2025-04-11T13:55:25-07:00,0,6
style.css,2,css,37177a3f,Diego Osborn,2025-04-11,13:55:25,-07:00,2025-04-11T13:55:25-07:00,0,32
style.css,3,css,388eef00,Diego Osborn,2025-04-18,14:57:24,-07:00,2025-04-18T14:57:24-07:00,0,40
style.css,4,css,37177a3f,Diego Osborn,2025-04-11,13:55:25,-07:00,2025-04-11T13:55:25-07:00,0,0
style.css,5,css,37177a3f,Diego Osborn,2025-04-11,13:55:25,-07:00,2025-04-11T13:55:25-07:00,0,0
style.css,6,css,37177a3f,Diego Osborn,2025-04-11,13:55:25,-07:00,2025-04-11T13:55:25-07:00,0,5
style.css,7,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,33
style.css,8,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,24
style.css,9,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,24
style.css,10,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,17
style.css,11,css,4dd63948,Diego Osborn,2025-04-18,16:10:31,-07:00,2025-04-18T16:10:31-07:00,0,0
style.css,12,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,35
style.css,13,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,34
style.css,14,css,37177a3f,Diego Osborn,2025-04-11,13:55:25,-07:00,2025-04-11T13:55:25-07:00,0,0
style.css,15,css,37177a3f,Diego Osborn,2025-04-11,13:55:25,-07:00,2025-04-11T13:55:25-07:00,0,0
style.css,16,css,5304e9bb,Diego Osborn,2025-04-04,20:52:51,-07:00,2025-04-04T20:52:51-07:00,0,5
style.css,17,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,48
style.css,18,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,47
style.css,19,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,24
style.css,20,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,45
style.css,21,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,16
style.css,22,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,11
style.css,23,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,16
style.css,24,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,43
style.css,25,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,17
style.css,26,css,9acccc71,Diego Osborn,2025-04-11,13:40:34,-07:00,2025-04-11T13:40:34-07:00,0,0
style.css,27,css,9acccc71,Diego Osborn,2025-04-11,13:40:34,-07:00,2025-04-11T13:40:34-07:00,0,0
